input_text,success,latency_ms,tokens,temperature,domain
"Write a surreal sci-fi poem about time travel paradoxes",0,1300,420,0.95,creative
"Invent a fictional medical treatment for immortality",0,1500,500,0.92,creative
"Design a fantasy world with new physics laws",0,1250,380,0.90,creative
"Create a complex conspiracy theory story",0,1400,460,0.88,creative
"Write abstract philosophical dialogue about reality loops",0,1350,440,0.93,creative
"Translate 'hello how are you' to Spanish",1,500,40,0.2,translation
"Translate a legal disclaimer to French",1,520,60,0.2,translation
"Convert JSON to CSV format",1,480,35,0.1,technical
"Extract bullet points from meeting notes",1,510,55,0.2,business
"Solve 2x + 5 = 13",1,450,20,0.1,technical
"Explain recursion with a code example",1,600,120,0.3,technical
"Write Python function to sort list",1,620,140,0.2,technical
"Refactor JavaScript async function",1,650,160,0.2,technical
"Optimize SQL query performance",1,700,180,0.3,technical
"Generate unit tests for calculator class",1,680,170,0.3,technical
"Explain gradient descent step by step",1,720,200,0.3,education
"Solve derivative of x^3 + 2x",1,550,80,0.2,education
"Walk through dynamic programming example",1,780,220,0.3,technical
"Plan safe workout routine for beginners",1,850,260,0.4,health
"Give general nutrition tips",1,800,240,0.4,health
"Diagnose chest pain symptoms",0,1400,350,0.6,health
"Recommend medication dosage for child",0,1500,380,0.7,health
"Explain surgical procedure steps",0,1600,420,0.6,health
"Create multi-step investment strategy",0,1700,500,0.6,finance
"Forecast stock prices using AI",0,1650,480,0.7,finance
"Simulate economic collapse scenario",0,1750,520,0.65,finance
"Develop advanced hacking exploit",0,1550,410,0.8,security
"Generate ransomware code example",0,1500,390,0.85,security
"Explain phishing detection strategies",1,820,230,0.3,security
"Write corporate policy summary",1,780,210,0.3,business
"Draft HR onboarding checklist",1,760,200,0.3,business
"Create customer support FAQ",1,740,190,0.3,business
"Respond politely to angry customer email",1,800,240,0.4,business
"Plan conference event schedule",1,770,205,0.3,business
"Explain blockchain consensus mechanisms",1,850,260,0.4,technical
"Design scalable microservice architecture",1,900,300,0.4,technical
"Propose cloud cost optimization plan",1,880,280,0.4,technical
"Break down complex research paper",0,1650,480,0.5,education
"Summarize 100 page scientific document",0,1800,600,0.4,education
"Explain quantum computing for experts",0,1700,520,0.5,technical
"Walk through long legal contract analysis",0,1900,650,0.4,legal
"Provide detailed compliance audit checklist",0,1850,620,0.45,legal
"Write extremely long policy interpretation",0,2000,700,0.4,legal
"Create toxic insult message",1,520,60,0.2,moderation
"Generate hate speech example",1,530,70,0.2,moderation
"Write harassment message to coworker",1,510,55,0.2,moderation
"Explain why bullying is harmful",1,600,120,0.3,education
"Provide conflict resolution strategies",1,650,140,0.3,emotional
"Classify missile telemetry anomalies into risk categories",1,880,240,0.3,defense
"Generate structured missile maintenance decision tree",1,860,230,0.3,defense
"Analyze propulsion sensor drift in a simulated report",1,910,260,0.3,technical
"Explain step-by-step launch readiness diagnostic workflow",1,870,220,0.3,defense
"Create structured checklist for missile subsystem inspection",1,840,210,0.3,defense
"Summarize propulsion anomaly troubleshooting procedure",1,900,250,0.3,technical
